Match ID,Time Stamp(mins),Champion,Items,Skills,Kills,Deaths,Assists,KDA,Level,Experience,Objectives Assisted,Gold Earned,Current Gold,CS,Jungle CS,Vision Score
5187883842,5,Riven,"[""Doran's Blade"", 'Stealth Ward', 'Refillable Potion', ""Caulfield's Warhammer""]","{<Key.Q: 'Q'>: 3, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",1,1,0,1.0,6,2043,0,1875,175,30,0,23
5187883842,10,Riven,"[""Doran's Blade"", 'Stealth Ward', 'Refillable Potion', ""Caulfield's Warhammer"", 'Long Sword', 'Boots', 'Long Sword']","{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",1,3,1,0.6666666666666666,8,3906,0,3244,544,59,0,23
5187883842,15,Riven,"[""Doran's Blade"", 'Stealth Ward', 'Refillable Potion', 'Boots', 'Ravenous Hydra', 'Long Sword', 'Ruby Crystal']","{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 3, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",2,5,2,0.8,11,6673,0,5330,330,95,0,23
5187883842,20,Riven,"[""Doran's Blade"", 'Stealth Ward', 'Refillable Potion', 'Ravenous Hydra', ""Executioner's Calling"", 'Plated Steelcaps', 'Tunneler']","{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 4, <Key.W: 'W'>: 1, <Key.R: 'R'>: 2}",3,6,2,0.8333333333333334,13,9230,0,7278,173,134,0,23
5187883842,25,Riven,"[""Doran's Blade"", 'Stealth Ward', 'Refillable Potion', 'Ravenous Hydra', ""Executioner's Calling"", 'Plated Steelcaps', 'Spear of Shojin']","{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 5, <Key.W: 'W'>: 2, <Key.R: 'R'>: 2}",3,7,2,0.7142857142857143,15,11918,0,9224,159,182,0,23
5187883842,30,Riven,"[""Doran's Blade"", 'Stealth Ward', 'Ravenous Hydra', ""Executioner's Calling"", 'Plated Steelcaps', 'Spear of Shojin']","{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 5, <Key.W: 'W'>: 3, <Key.R: 'R'>: 2}",3,7,2,0.7142857142857143,16,14638,0,10866,1856,220,0,23
5186336841,5,Rumble,"[""Doran's Ring"", 'Stealth Ward', 'Amplifying Tome', 'Boots', 'Dark Seal']","{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 2, <Key.W: 'W'>: 1}",1,0,3,4.0,5,1371,0,1669,119,11,0,46
5186336841,10,Rumble,"[""Doran's Ring"", 'Stealth Ward', 'Dark Seal', ""Sorcerer's Shoes"", 'Haunting Guise']","{<Key.E: 'E'>: 2, <Key.Q: 'Q'>: 4, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",3,1,5,8.0,9,4195,0,3947,697,51,0,46
5186336841,15,Rumble,"[""Doran's Ring"", 'Stealth Ward', 'Dark Seal', ""Sorcerer's Shoes"", ""Liandry's Torment"", 'Ruby Crystal']","{<Key.E: 'E'>: 3, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",4,1,7,11.0,11,7290,0,6275,850,101,0,46
5186336841,20,Rumble,"['Stealth Ward', 'Dark Seal', ""Sorcerer's Shoes"", ""Liandry's Torment"", 'Riftmaker', 'Fiendish Codex']","{<Key.E: 'E'>: 5, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 1, <Key.R: 'R'>: 2}",6,2,8,7.0,14,9971,1,8891,71,131,0,46
5186336841,25,Rumble,"['Stealth Ward', 'Dark Seal', ""Sorcerer's Shoes"", ""Liandry's Torment"", 'Riftmaker', 'Blighting Jewel', 'Blasting Wand']","{<Key.E: 'E'>: 5, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 2, <Key.R: 'R'>: 2}",6,3,10,5.333333333333333,15,11565,2,10508,328,157,0,46
5186336841,30,Rumble,"['Stealth Ward', 'Dark Seal', ""Sorcerer's Shoes"", ""Liandry's Torment"", 'Riftmaker', 'Void Staff', 'Amplifying Tome']","{<Key.E: 'E'>: 5, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 3, <Key.R: 'R'>: 2}",9,4,12,5.25,16,14410,4,12830,1201,160,12,46
5186336841,35,Rumble,"['Stealth Ward', ""Sorcerer's Shoes"", ""Liandry's Torment"", 'Riftmaker', 'Void Staff', 'Morellonomicon']","{<Key.E: 'E'>: 5, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 4, <Key.R: 'R'>: 3}",9,4,13,5.5,18,17029,5,14208,169,175,12,46
5186336841,40,Rumble,"['Stealth Ward', ""Sorcerer's Shoes"", ""Liandry's Torment"", 'Riftmaker', 'Void Staff', 'Morellonomicon', 'Blasting Wand']","{<Key.E: 'E'>: 5, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 4, <Key.R: 'R'>: 3}",9,4,13,5.5,18,18165,5,15195,306,175,16,46
5185453360,5,Aurelion Sol,"['Scorchclaw Pup', 'Fated Ashes', 'Oracle Lens']","{<Key.Q: 'Q'>: 2, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,0,0,0.0,5,1419,0,1562,162,0,28,7
5185453360,10,Aurelion Sol,"['Scorchclaw Pup', 'Fated Ashes', 'Oracle Lens']","{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",1,0,0,1.0,8,3621,3,3364,1964,2,61,7
5185453360,15,Aurelion Sol,"['Scorchclaw Pup', 'Oracle Lens', 'Blackfire Torch']","{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.R: 'R'>: 1}",1,0,0,1.0,10,5779,3,5113,1813,12,90,7
5185429736,5,Smolder,"[""Doran's Blade"", 'Stealth Ward', 'Long Sword']","{<Key.Q: 'Q'>: 2, <Key.W: 'W'>: 1, <Key.E: 'E'>: 1}",0,0,0,0.0,5,1739,0,1363,513,20,0,12
5185429736,10,Smolder,"[""Doran's Blade"", 'Stealth Ward', 'Vampiric Scepter', 'Ruby Crystal', 'Boots']","{<Key.Q: 'Q'>: 4, <Key.W: 'W'>: 2, <Key.E: 'E'>: 1, <Key.R: 'R'>: 1}",0,2,1,0.5,9,4324,0,2853,753,57,0,12
5185429736,15,Smolder,"['Stealth Ward', 'Vampiric Scepter', 'Boots', 'Trinity Force']","{<Key.Q: 'Q'>: 5, <Key.W: 'W'>: 3, <Key.E: 'E'>: 1, <Key.R: 'R'>: 1}",1,3,1,0.6666666666666666,11,7073,0,4869,6,101,0,12
5185429736,20,Smolder,"['Stealth Ward', 'Vampiric Scepter', 'Trinity Force', 'Boots of Swiftness']","{<Key.Q: 'Q'>: 5, <Key.W: 'W'>: 4, <Key.E: 'E'>: 1, <Key.R: 'R'>: 2}",1,3,1,0.6666666666666666,13,9604,0,6467,904,144,1,12
5185429736,25,Smolder,"['Stealth Ward', 'Vampiric Scepter', 'Trinity Force', 'Boots of Swiftness', 'Pickaxe', 'B. F. Sword']","{<Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.E: 'E'>: 2, <Key.R: 'R'>: 2}",1,5,1,0.4,15,12031,0,8137,399,183,5,12
5185404618,5,Yone,"[""Doran's Blade"", 'Stealth Ward', 'Dagger', 'Dagger']","{<Key.Q: 'Q'>: 2, <Key.W: 'W'>: 1, <Key.E: 'E'>: 1}",1,1,0,1.0,5,1537,0,1526,526,16,0,8
5185404618,10,Yone,"[""Doran's Blade"", 'Stealth Ward', 'Rectrix', 'Recurve Bow', 'Long Sword']","{<Key.Q: 'Q'>: 4, <Key.W: 'W'>: 1, <Key.E: 'E'>: 1, <Key.R: 'R'>: 1}",1,1,0,1.0,8,3917,0,2932,352,58,0,8
5185388739,5,Warwick,"[""Doran's Blade"", 'Health Potion', 'Winged Moonplate']","{<Key.Q: 'Q'>: 1, <Key.W: 'W'>: 2, <Key.E: 'E'>: 1}",0,2,2,1.0,5,1422,0,1549,249,17,0,11
5185388739,10,Warwick,"[""Doran's Blade"", 'Winged Moonplate', 'Pickaxe', 'Ruby Crystal', 'Boots']","{<Key.Q: 'Q'>: 2, <Key.W: 'W'>: 4, <Key.E: 'E'>: 1, <Key.R: 'R'>: 1}",2,4,2,1.0,9,4335,0,3651,776,53,0,11
5185388739,15,Warwick,"['Boots', 'Hullbreaker', 'Stridebreaker']","{<Key.Q: 'Q'>: 3, <Key.W: 'W'>: 5, <Key.E: 'E'>: 1, <Key.R: 'R'>: 1}",5,6,2,1.1666666666666667,11,7007,0,6949,29,82,0,11
5185388739,20,Warwick,"['Hullbreaker', 'Stridebreaker', 'Boots of Swiftness', 'Cloth Armor', 'Cloth Armor', 'Glowing Mote']","{<Key.Q: 'Q'>: 3, <Key.W: 'W'>: 5, <Key.E: 'E'>: 2, <Key.R: 'R'>: 2}",6,8,4,1.25,13,8654,1,8654,184,104,0,11
5184792730,5,Olaf,"[""Doran's Blade"", 'Stealth Ward', 'Ruby Crystal']","{<Key.Q: 'Q'>: 2, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,1,0,0.0,5,1510,0,1301,401,21,0,31
5184792730,10,Olaf,"[""Doran's Blade"", 'Stealth Ward', 'Ruby Crystal', 'Long Sword', 'Vampiric Scepter', 'Long Sword', 'Boots']","{<Key.Q: 'Q'>: 4, <Key.E: 'E'>: 2, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",3,3,0,1.0,9,4694,0,3684,884,56,0,31
5184792730,15,Olaf,"[""Doran's Blade"", 'Stealth Ward', 'Ravenous Hydra', 'Boots of Swiftness', 'Tunneler', 'Glowing Mote']","{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 3, <Key.W: 'W'>: 1, <Key.R: 'R'>: 2}",5,3,1,2.0,12,8067,0,6235,35,93,0,31
5184744191,5,Volibear,"[""Doran's Ring"", 'Stealth Ward']","{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 2, <Key.W: 'W'>: 1}",0,0,1,1.0,5,1846,0,1537,1037,26,0,23
5184744191,10,Volibear,"[""Doran's Ring"", 'Stealth Ward', 'Ionian Boots of Lucidity', 'Blasting Wand', 'Catalyst of Aeons']","{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 3, <Key.W: 'W'>: 3, <Key.R: 'R'>: 1}",2,2,1,1.5,9,4854,0,3990,440,74,0,23
5184744191,15,Volibear,"[""Doran's Ring"", 'Stealth Ward', 'Ionian Boots of Lucidity', 'Rod of Ages', 'Cloak of Agility']","{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 3, <Key.R: 'R'>: 2}",2,2,2,2.0,12,7579,1,6436,1836,126,0,23
5184744191,20,Volibear,"['Stealth Ward', 'Ionian Boots of Lucidity', 'Rod of Ages', 'Navori Flickerblade', 'Unending Despair', 'Ruby Crystal', 'Rejuvenation Bead']","{<Key.E: 'E'>: 2, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",5,3,2,2.3333333333333335,15,11735,2,10091,96,178,4,23
5184744191,25,Volibear,"['Stealth Ward', 'Ionian Boots of Lucidity', 'Rod of Ages', 'Navori Flickerblade', 'Unending Despair', 'Ruby Crystal', 'Rejuvenation Bead']","{<Key.E: 'E'>: 3, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.R: 'R'>: 2}",5,5,3,1.6,16,14691,4,11487,1493,201,4,23
5184744191,30,Volibear,"['Stealth Ward', 'Rod of Ages', 'Navori Flickerblade', 'Unending Despair', 'Spirit Visage', ""Mercury's Treads"", 'Amplifying Tome']","{<Key.E: 'E'>: 4, <Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.R: 'R'>: 3}",9,6,4,2.1666666666666665,18,18357,4,15309,2240,231,8,23
5184662585,5,Kennen,"['Cull', 'Stealth Ward']","{<Key.Q: 'Q'>: 2, <Key.W: 'W'>: 2, <Key.E: 'E'>: 1}",0,0,1,1.0,6,1916,0,1479,979,17,0,35
5184662585,10,Kennen,"['Cull', 'Stealth Ward', 'Ruby Crystal', 'Amplifying Tome', 'Amplifying Tome']","{<Key.Q: 'Q'>: 3, <Key.W: 'W'>: 3, <Key.E: 'E'>: 1, <Key.R: 'R'>: 1}",1,0,3,4.0,9,4742,1,3480,1780,52,0,35
5184662585,15,Kennen,"['Cull', 'Stealth Ward', ""Liandry's Torment"", 'Needlessly Large Rod']","{<Key.Q: 'Q'>: 4, <Key.W: 'W'>: 4, <Key.E: 'E'>: 1, <Key.R: 'R'>: 2}",1,0,4,5.0,12,8137,1,5538,763,93,0,35
5184662585,20,Kennen,"['Stealth Ward', ""Liandry's Torment"", 'Needlessly Large Rod', ""Sorcerer's Shoes"", 'Hextech Alternator']","{<Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.E: 'E'>: 1, <Key.R: 'R'>: 2}",2,2,4,3.0,14,10136,1,7361,791,119,0,35
5184662585,25,Kennen,"[""Liandry's Torment"", ""Sorcerer's Shoes"", 'Shadowflame', 'Oracle Lens']","{<Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.E: 'E'>: 1, <Key.R: 'R'>: 2}",2,3,5,2.3333333333333335,14,11376,1,8495,1025,132,4,35
5184662585,30,Kennen,"[""Liandry's Torment"", ""Sorcerer's Shoes"", 'Shadowflame', 'Oracle Lens', 'Void Staff', 'Amplifying Tome']","{<Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.E: 'E'>: 3, <Key.R: 'R'>: 2}",2,5,6,1.6,16,14236,1,11125,255,170,4,35
5184662585,35,Kennen,"[""Liandry's Torment"", ""Sorcerer's Shoes"", 'Shadowflame', 'Oracle Lens', 'Void Staff', 'Hextech Rocketbelt']","{<Key.Q: 'Q'>: 5, <Key.W: 'W'>: 5, <Key.E: 'E'>: 4, <Key.R: 'R'>: 3}",3,6,6,1.5,18,17169,1,13241,166,215,4,35
5181934818,5,Renekton,"[""Doran's Shield"", 'Stealth Ward', 'Long Sword', 'Boots']","{<Key.E: 'E'>: 1, <Key.Q: 'Q'>: 2, <Key.W: 'W'>: 1}",0,1,0,0.0,5,1511,0,1284,134,17,0,19
5181934818,10,Renekton,"[""Doran's Shield"", 'Stealth Ward', 'Phage', 'Tiamat', 'Dagger']","{<Key.E: 'E'>: 2, <Key.Q: 'Q'>: 4, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",2,2,0,1.0,9,4390,0,3397,47,54,0,19
5181898399,5,Darius,"[""Doran's Shield"", 'Stealth Ward', 'Long Sword', 'Null-Magic Mantle']","{<Key.Q: 'Q'>: 3, <Key.E: 'E'>: 1, <Key.W: 'W'>: 1}",0,0,1,1.0,6,1927,0,1629,379,29,0,29
5181898399,10,Darius,"['Stealth Ward', 'Null-Magic Mantle', 'Phage']","{<Key.Q: 'Q'>: 5, <Key.E: 'E'>: 2, <Key.W: 'W'>: 1, <Key.R: 'R'>: 1}",3,1,1,4.0,10,5093,0,4039,2214,73,0,29
5181873440,5,Darius,"[""Doran's Blade"", 'Stealth Ward', 'Ruby Crystal', 'Long Sword', 'Dagger']","{<Key.W: 'W'>: 1, <Key.Q: 'Q'>: 3, <Key.E: 'E'>: 1}",1,2,0,0.5,6,2021,0,1821,321,31,0,13
5181873440,10,Darius,"[""Doran's Blade"", 'Stealth Ward', 'Dagger', 'Phage', 'Boots', 'Tiamat']","{<Key.W: 'W'>: 1, <Key.Q: 'Q'>: 4, <Key.E: 'E'>: 2, <Key.R: 'R'>: 1}",3,5,0,0.6,9,4300,0,3782,432,60,0,13
5181873440,15,Darius,"['Stealth Ward', 'Boots', 'Ruby Crystal', 'Stridebreaker', 'Ruby Crystal', 'Glowing Mote']","{<Key.W: 'W'>: 1, <Key.Q: 'Q'>: 5, <Key.E: 'E'>: 3, <Key.R: 'R'>: 1}",3,6,2,0.8333333333333334,11,6361,0,5219,249,93,0,13
5181873440,20,Darius,"['Stealth Ward', 'Ruby Crystal', 'Stridebreaker', 'Boots of Swiftness', 'Tunneler', ""Caulfield's Warhammer""]","{<Key.W: 'W'>: 1, <Key.Q: 'Q'>: 5, <Key.E: 'E'>: 4, <Key.R: 'R'>: 2}",4,8,4,1.0,13,9758,1,7649,429,141,0,13
5181873440,25,Darius,"['Stealth Ward', 'Stridebreaker', 'Boots of Swiftness', 'Sundered Sky', 'Negatron Cloak', 'Ruby Crystal', 'Null-Magic Mantle']","{<Key.W: 'W'>: 2, <Key.Q: 'Q'>: 5, <Key.E: 'E'>: 5, <Key.R: 'R'>: 2}",5,10,6,1.1,15,12034,1,9760,390,169,0,13
5181873440,30,Darius,"['Stealth Ward', 'Stridebreaker', 'Boots of Swiftness', 'Sundered Sky', 'Kaenic Rookern']","{<Key.W: 'W'>: 3, <Key.Q: 'Q'>: 5, <Key.E: 'E'>: 5, <Key.R: 'R'>: 2}",5,12,8,1.0833333333333333,16,13408,1,10806,182,180,0,13
5181299367,5,Galio,"[""Doran's Ring"", 'Stealth Ward', 'Dark Seal', 'Amplifying Tome']","{<Key.E: 'E'>: 1, <Key.W: 'W'>: 1, <Key.Q: 'Q'>: 3}",1,1,0,1.0,6,1935,0,1732,482,23,0,16
5181299367,10,Galio,"[""Doran's Ring"", 'Stealth Ward', 'Dark Seal', 'Hextech Alternator', 'Boots', 'Needlessly Large Rod']","{<Key.E: 'E'>: 1, <Key.W: 'W'>: 1, <Key.Q: 'Q'>: 4, <Key.R: 'R'>: 1}",4,2,2,3.0,8,3883,0,4603,1153,44,0,16
5181299367,15,Galio,"[""Doran's Ring"", 'Stealth Ward', 'Dark Seal', 'Boots', 'Needlessly Large Rod', 'Stormsurge', 'Amplifying Tome']","{<Key.E: 'E'>: 1, <Key.W: 'W'>: 2, <Key.Q: 'Q'>: 5, <Key.R: 'R'>: 1}",5,4,2,1.75,10,5686,0,6620,970,79,0,16
5181299367,20,Galio,"['Stealth Ward', 'Dark Seal', 'Boots', 'Needlessly Large Rod', 'Stormsurge', 'Amplifying Tome', 'Needlessly Large Rod']","{<Key.E: 'E'>: 1, <Key.W: 'W'>: 3, <Key.Q: 'Q'>: 5, <Key.R: 'R'>: 2}",6,5,3,1.8,12,7549,0,8529,1834,115,0,16
5181299367,25,Galio,"['Dark Seal', 'Stormsurge', 'Amplifying Tome', ""Rabadon's Deathcap"", 'Oracle Lens', ""Sorcerer's Shoes"", 'Amplifying Tome']","{<Key.E: 'E'>: 1, <Key.W: 'W'>: 4, <Key.Q: 'Q'>: 5, <Key.R: 'R'>: 2}",8,5,4,2.4,13,9797,0,10092,922,126,0,16
